,W,SI,SB,S,RB,PL,JO,NG,LH,QS,CO,LC,KW,KC,LX,LT,LN,LL,LP,LA,HO,GC,FC,CT,CL,CC,C
19,-0.012172071,-0.000954102,-0.010093444,-0.02946156,0.01467612,0.003966503,-0.019749621,0.051108337,0.008710677,0.006754748,0.015550401,0.007609861,-0.013427968,-0.035148736,-0.009093018,0.006371462,0.018832688,-3.80E-05,0.008521178,0.003455694,0.015703623,0.001615553,0.007080934,0.009753461,0.016263431,-0.020475913,-0.015375268
20,0.007223668,-0.012868704,-0.008050359,0.002510172,0.026527951,-0.003966102,0.012828828,0.016804965,0.0031384,0.01059977,0.016476097,0.008913217,0.00658847,0.004005955,-0.013770229,-0.003513204,-0.000778911,-0.015278253,-0.008446642,0.006757397,0.037848329,-0.003851884,0.001908958,-0.012154545,0.021549318,-0.042510975,0.005633461
21,-0.002382503,-0.003157837,0.020195768,-0.003943771,-0.009027996,0.027615344,0.008653675,0.02169787,-0.012305505,-0.001391052,-0.016356957,-0.011494519,-0.000823617,0.003543466,-0.017243103,-0.006442356,0.01193621,0.001695914,-0.017505047,-0.018606594,-0.018724153,0.00738038,-0.0103236,-0.003663698,-0.02358308,0.003297489,-0.005257428
22,-0.01226004,0.011280057,0.020308565,-0.009772914,0.028001131,0.020162305,0.01021339,-0.034541532,0.020368579,0.021429808,0.022625545,0.006135372,-0.01281859,0.007115595,0.010149571,-0.001761247,0.003800094,-0.011038947,-0.006136589,0.001946243,0.035428846,0.008897945,0.00577341,-0.019457502,0.020515601,0.008131134,-0.01157453
23,0.015027808,0.051713023,0.027385766,0.007613281,0.018111746,0.008610006,-0.013663158,0.030510478,-0.000571556,-0.001040363,0.02059159,-0.00194511,0.014076149,-0.000121791,-0.010736037,-0.015754605,0.012725906,-0.006294648,-0.000516225,-0.006537811,0.012642412,0.079155275,-0.006150682,-0.000923902,0.02971156,-0.013407888,0.008736941
24,0.004485829,-0.052511742,-0.022337007,0.001737988,-0.015188448,-0.011384305,0.005118963,-0.066060405,0.002683085,0.00695186,-0.010000903,0.00373692,0.004025953,-0.010883728,-0.005951112,-0.011587541,0.017188273,0.003368909,0.002457831,-0.007867872,-0.03796281,-0.027703053,-0.000431881,0.004613173,-0.012789967,0.024266687,0.006722335
25,0.002973275,0.009759821,-0.023277608,-0.011682448,-0.012239657,0.049537545,0.02908807,-0.023968868,-0.020582648,-0.018326766,-0.011584735,-0.0078967,0.00179701,-0.029446618,0.000453412,0.001790835,-0.012844397,0.002166573,-0.003202591,-0.002868827,-0.035170933,-0.011671952,-0.007424113,-0.01293494,-0.013894422,-0.020266691,-7.51E-05
26,0.02233425,0.018420671,-0.009247182,0.006283622,0.027601381,0.063804266,-0.006869344,0.022332309,-0.019260341,-0.004528917,0.014715363,-0.006688478,0.018648805,-0.009173487,0.004550507,0.002488195,0.02250417,0.000923719,0.000332398,0.003411587,0.022034097,0.024624475,-0.009001114,0.006823735,0.022933871,0.021813523,0.005636247
27,0.019418581,-0.001129108,0.000562818,0.01765261,0.023851117,-0.023475378,0.001879546,0.02328587,0.003437752,-0.006635547,0.013306127,-0.005746206,0.025782415,0.005288063,0.001531518,0.003720202,0.038730572,-0.001486778,0.031335159,0.005175203,0.007704446,0.031644704,-0.003289038,0.032137024,0.019087353,-0.008477394,0.012587234
28,-0.003103123,-0.013709536,-0.001160067,-0.015466486,-0.005966594,0.014791304,0.033275054,-0.001663938,0.005992886,0.00919141,0.004919495,-0.003247742,-0.008240193,0.000864243,0.008318209,-0.001657777,0.01852715,0.015483186,-0.00242129,0.000468052,-0.000450063,-0.016111767,0.005091461,-0.012563943,0.006432459,-0.016140639,-0.019009496
